doc                                            pg      OFF       ON    delta
gen2_055_Risk_Management_Report                 1   0.8513   0.8552  +0.0039
gen2_065_Privacy_Notice                         1   0.9517   0.9557  +0.0039
gen2_067_SLA_Template                           1   0.8406   0.8446  +0.0040
gen2_041_Annual_Report                          1   0.8608   0.8650  +0.0042
gen2_028_旅費規程                                   2   0.9141   0.9186  +0.0045
gen2_053_Compliance_Training                    1   0.9122   0.9169  +0.0048
db9ca18368cd_20241122_resource_open_data_01     2   0.7483   0.7534  +0.0050
gen2_062_Service_Contract                       1   0.9114   0.9165  +0.0052
gen2_058_Customer_Survey_Results                2   0.9419   0.9473  +0.0053
gen2_076_User_Guide                             1   0.9392   0.9446  +0.0054
gen2_077_API_Documentation                      1   0.9124   0.9179  +0.0055
04b88e7e0b25_index-19                           2   0.8512   0.8567  +0.0055
gen2_066_Data_Processing_Agreement              1   0.9164   0.9221  +0.0056
0e7af1ae8f21_20230331_resources_open_data_co    7   0.7770   0.7827  +0.0057
gen2_074_Test_Plan                              1   0.8976   0.9039  +0.0063
e3c545fac7a7_LOD_Handbook                       2   0.9334   0.9397  +0.0063
3a4f9fbe1a83_001620506                          4   0.8280   0.8348  +0.0068
gen2_057_Marketing_Strategy                     1   0.8872   0.8940  +0.0068
gen2_018_顧客満足度調査報告                              2   0.8178   0.8246  +0.0068
gen2_047_Process_Improvement                    1   0.9589   0.9659  +0.0070
db9ca18368cd_20241122_resource_open_data_01     1   0.8004   0.8080  +0.0076
bd90b00ab7a7_order_05                           2   0.9236   0.9322  +0.0086
3a4f9fbe1a83_001620506                          2   0.8846   0.8937  +0.0092
gen2_029_慶弔見舞金規程                                1   0.9621   0.9720  +0.0099
683ffcab86e2_20230331_resources_open_data_co    2   0.7197   0.7308  +0.0111
gen2_025_ハラスメント防止規程                             1   0.8794   0.8928  +0.0134
d77a58485f16_20240705_resources_data_outline    9   0.7091   0.7239  +0.0148
gen2_051_Security_Policy                        1   0.9147   0.9312  +0.0164
gen2_052_Privacy_Policy                         1   0.9125   0.9290  +0.0165
d77a58485f16_20240705_resources_data_outline    7   0.7524   0.7702  +0.0178
gen2_005_研修報告書                                  2   0.9415   0.9596  +0.0182
gen2_032_経費精算マニュアル                              2   0.8972   0.9155  +0.0183
gen2_001_株主総会招集通知                               2   0.9546   0.9732  +0.0186
gen2_054_Audit_Report                           2   0.9137   0.9338  +0.0202
------------------------------------------------------------------------------
PAGES=410  net=-0.8529  mean=-0.002080  improved=88 regressed=138 same=184
--- per-doc net (sorted) ---
c7b923e5c616_20240705_resources_data_outline_0 net=-0.0735  (3 pg)
0e7af1ae8f21_20230331_resources_open_data_cont net=-0.0652  (10 pg)
3a4f9fbe1a83_001620506                         net=-0.0608  (8 pg)
d77a58485f16_20240705_resources_data_outline_0 net=-0.0563  (12 pg)
ed025cbecffb_index-23                          net=-0.0497  (16 pg)
gen2_015_リスク管理報告書                              net=-0.0470  (2 pg)
34140b9c5662_index-14                          net=-0.0445  (6 pg)
gen2_003_予算申請書                                 net=-0.0310  (2 pg)
gen2_021_給与規程                                  net=-0.0298  (2 pg)
gen2_028_旅費規程                                  net=-0.0269  (2 pg)
gen2_018_顧客満足度調査報告                             net=-0.0256  (2 pg)
gen2_006_出張報告書                                 net=-0.0253  (1 pg)
gen2_011_情報セキュリティポリシー                          net=-0.0247  (1 pg)
gen2_009_安全衛生委員会議事録                            net=-0.0233  (2 pg)
gen2_019_社内規程集                                 net=-0.0197  (2 pg)
04b88e7e0b25_index-19                          net=-0.0193  (5 pg)
gen2_012_個人情報保護方針                              net=-0.0191  (2 pg)
gen2_036_新入社員ガイド                               net=-0.0187  (2 pg)
gen2_037_管理職ハンドブック                             net=-0.0186  (2 pg)
gen2_039_品質基準書                                 net=-0.0182  (1 pg)
gen2_024_テレワーク規程                               net=-0.0176  (3 pg)
gen2_050_Disaster_Plan                         net=-0.0175  (2 pg)
gen2_038_営業マニュアル                               net=-0.0171  (1 pg)
gen2_022_退職金規程                                 net=-0.0168  (1 pg)
gen2_027_懲戒規程                                  net=-0.0165  (1 pg)
gen2_013_コンプライアンス研修資料                          net=-0.0152  (2 pg)
gen2_007_業務改善提案書                               net=-0.0151  (3 pg)
gen2_030_車両管理規程                                net=-0.0151  (1 pg)
d6fd9a516382_190095                            net=-0.0148  (2 pg)
gen2_004_人事評価シート                               net=-0.0142  (2 pg)
09390503aeff_index-17                          net=-0.0141  (1 pg)
6d6dc4ade6c0_index-20                          net=-0.0130  (1 pg)
gen2_026_副業_兼業規程                               net=-0.0119  (2 pg)
test_widow                                     net=-0.0118  (3 pg)
gen2_000_取締役会議事録                               net=-0.0108  (2 pg)
gen2_016_新商品企画書                                net=-0.0103  (2 pg)
gen2_075_Release_Notes                         net=-0.0094  (2 pg)
gen2_023_育児休業規程                                net=-0.0092  (2 pg)
b5f706e9f6ad_kyodokenkyuyoushiki_bessi         net=-0.0088  (2 pg)
gen2_010_防災計画書                                 net=-0.0081  (2 pg)
e3c545fac7a7_LOD_Handbook                      net=-0.0076  (12 pg)
gen2_020_就業規則                                  net=-0.0075  (2 pg)
gen2_059_Company_Handbook                      net=-0.0070  (2 pg)
gen2_017_マーケティング戦略書                            net=-0.0070  (1 pg)
gen2_031_文書管理規程                                net=-0.0068  (1 pg)
a47e6c6b2ca1_order_08                          net=-0.0068  (1 pg)
gen2_057_Marketing_Strategy                    net=-0.0062  (2 pg)
gen2_035_電話対応マニュアル                             net=-0.0062  (2 pg)
gen2_060_Employee_Agreement                    net=-0.0060  (2 pg)
gen_japanese                                   net=-0.0050  (1 pg)
gen2_002_事業計画書                                 net=-0.0050  (1 pg)
gen2_033_受注管理マニュアル                             net=-0.0048  (1 pg)
459f05f1e877_kyodokenkyuyoushiki01             net=-0.0048  (3 pg)
d94cb2a61ef4_190096                            net=-0.0044  (1 pg)
2ea81a8441cc_0025006-192                       net=-0.0038  (2 pg)
gen2_008_品質管理報告書                               net=-0.0036  (1 pg)
1ec1091177b1_006                               net=-0.0033  (1 pg)
gen_long                                       net=-0.0031  (2 pg)
d1e8ac8fd1cc_kyodokenkyuyoushiki06             net=-0.0029  (2 pg)
test_line_heights                              net=-0.0029  (6 pg)
gen2_066_Data_Processing_Agreement             net=-0.0028  (2 pg)
8efcd416dfb8_190098                            net=-0.0026  (1 pg)
test_line_height                               net=-0.0025  (1 pg)
gen2_073_Requirements_Document                 net=-0.0025  (2 pg)
338c92d6e393_190097                            net=-0.0024  (1 pg)
15f9755cbccc_190094                            net=-0.0024  (1 pg)
gen2_063_License_Agreement                     net=-0.0023  (2 pg)
7ead52b63f0e_000067058                         net=-0.0023  (1 pg)
test_misc_props                                net=-0.0022  (1 pg)
gen2_045_Training_Report                       net=-0.0021  (1 pg)
6a39b1812290_001851238                         net=-0.0021  (1 pg)
8bc929011c90_001851240                         net=-0.0020  (1 pg)
gen_proposal                                   net=-0.0020  (1 pg)
test_headings                                  net=-0.0017  (1 pg)
gen2_077_API_Documentation                     net=-0.0016  (2 pg)
1636d28e2c46_tokumei_08_04                     net=-0.0011  (2 pg)
gen2_046_Travel_Report                         net=+0.0010  (1 pg)
gen2_056_Product_Plan                          net=+0.0011  (1 pg)
gen_report                                     net=+0.0012  (1 pg)
gen_memo                                       net=+0.0014  (1 pg)
gen2_034_クレーム対応マニュアル                           net=+0.0016  (2 pg)
gen2_067_SLA_Template                          net=+0.0017  (2 pg)
gen2_040_Board_Meeting_Minutes                 net=+0.0018  (1 pg)
test_lists                                     net=+0.0018  (1 pg)
gen2_078_Architecture_Decision_Record          net=+0.0020  (1 pg)
gen2_043_Budget_Proposal                       net=+0.0021  (1 pg)
gen2_068_SOW_Template                          net=+0.0021  (2 pg)
gen_jp_manual                                  net=+0.0021  (1 pg)
gen2_072_Project_Charter                       net=+0.0022  (1 pg)
gen_tables                                     net=+0.0023  (1 pg)
gen2_064_Terms_of_Service                      net=+0.0023  (2 pg)
